dataset,threshold_strategy,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,recall_sensitivity_mean,recall_sensitivity_std,recall_sensitivity_min,recall_sensitivity_max,specificity_mean,specificity_std,specificity_min,specificity_max,precision_mean,precision_std,precision_min,precision_max,brier_score_mean,brier_score_std,brier_score_min,brier_score_max,false_negative_rate_mean,false_negative_rate_std,false_negative_rate_min,false_negative_rate_max,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_min,false_positive_rate_max
internal_test,default_0_50,0.7792876861600434,0.0021966069047727873,0.7756603878159576,0.7811417882689186,0.7567400545401831,0.010246691835016841,0.7413012729844413,0.7653465346534654,0.6606688645745524,0.009392787276756834,0.648606592162965,0.6701089262979205,0.6904700924034047,0.0035877299650275748,0.685171102661597,0.6949640287769784,0.1905768603682433,0.0010230422009797602,0.18956707748807525,0.19223280827038938,0.24325994545981686,0.0102466918350168,0.23465346534653464,0.2586987270155587,0.3393311354254476,0.009392787276756838,0.3298910737020795,0.35139340783703493
internal_test,recall_at_least_80,0.7792876861600434,0.0021966069047727873,0.7756603878159576,0.7811417882689186,0.8824298694040937,0.029192846649892412,0.8444130127298444,0.9224893917963225,0.49451206665035274,0.04952777279383629,0.4195784410807752,0.5422266232847645,0.6364713156814799,0.014926896332194399,0.613835294117647,0.6484901151422985,0.1905768603682433,0.0010230422009797602,0.18956707748807525,0.19223280827038938,0.11757013059590622,0.02919284664989238,0.07751060820367751,0.15558698727015557,0.5054879333496471,0.04952777279383629,0.45777337671523555,0.5804215589192248
internal_test,youden_j,0.7792876861600434,0.0021966069047727873,0.7756603878159576,0.7811417882689186,0.7668661684590947,0.02985050159831389,0.7190550289998585,0.7978783592644979,0.6501713099588358,0.0307187058027579,0.6118262837742255,0.695049504950495,0.6872101816050227,0.010818786223506216,0.6727489564698867,0.7021688078463876,0.1905768603682433,0.0010230422009797602,0.18956707748807525,0.19223280827038938,0.23313383154090522,0.029850501598313848,0.20212164073550212,0.2809449710001415,0.34982869004116424,0.03071870580275793,0.30495049504950494,0.3881737162257745
natural_prevalence_2015,default_0_50,0.7796050868754035,7.020064922156468e-05,0.779539461532358,0.7797054450404866,0.7594635885248684,0.009831594915258661,0.7466757200248967,0.7688847394330335,0.6575247098482142,0.009968887808949166,0.6479384795771616,0.6709490963386371,0.264228948167278,0.0031841617822889333,0.26120679712429357,0.26866188222120424,0.19796597521782539,0.00031724903044438754,0.19755028069737793,0.19831838308136934,0.24053641147513155,0.009831594915258653,0.23111526056696655,0.25332427997510326,0.3424752901517858,0.009968887808949216,0.32905090366136286,0.3520615204228384
natural_prevalence_2015,recall_at_least_80,0.7796050868754035,7.020064922156468e-05,0.779539461532358,0.7797054450404866,0.8840660895150794,0.028549057618209573,0.8480733322016636,0.9233010807446387,0.49219177956708526,0.05121099542561972,0.4186750574807405,0.55267617503458,0.22066474196842134,0.011562371101828351,0.20453377455220045,0.23484433023612916,0.19796597521782539,0.00031724903044438754,0.19755028069737793,0.19831838308136934,0.1159339104849205,0.028549057618209594,0.07669891925536129,0.15192666779833644,0.5078082204329146,0.051210995425619785,0.44732382496541995,0.5813249425192595
natural_prevalence_2015,youden_j,0.7796050868754035,7.020064922156468e-05,0.779539461532358,0.7797054450404866,0.7695184745091382,0.028958494580628134,0.7250042437616704,0.7989305720590731,0.6461366530178534,0.02943946510915593,0.6154927771212912,0.6905108686691033,0.26090304629732597,0.009143886050006393,0.2517069257509582,0.27496298203824115,0.19796597521782539,0.00031724903044438754,0.19755028069737793,0.19831838308136934,0.2304815254908618,0.028958494580628207,0.20106942794092683,0.27499575623832967,0.3538633469821466,0.02943946510915598,0.30948913133089667,0.38450722287870875
