threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,brier_score,ece_10bin,true_negative,false_positive,false_negative,true_positive,false_positive_rate,false_negative_rate,predicted_positive_rate,n,positive_prevalence,calibration_intercept,calibration_slope,subgroup_variable,subgroup,n_positive,n_total,reliability_note,threshold_strategy
0.35000000000000003,0.667983149025803,0.5755646041017703,0.6583381754793725,0.9638451722671204,0.18728403593642018,0.7823234938719144,0.7331822509617428,0.1981492665420313,0.009155284509694436,271,1176,85,2266,0.8127159640635798,0.036154827732879626,0.9062664560294892,3798,0.6190100052659294,-0.03447929167560134,1.07305986166092,AgeGroup,65–74,2351,3798,,recall_at_least_80
0.35000000000000003,0.6464318813716404,0.5521570116438852,0.6382133995037221,0.9742424242424242,0.13007159904534607,0.7712143928035982,0.6989635314963477,0.2094697998899346,0.016096830475070694,109,729,34,1286,0.869928400954654,0.025757575757575757,0.9337349397590361,2158,0.6116774791473587,-0.020898891703649468,1.0403204874814491,AgeGroup,75+,1320,2158,,recall_at_least_80
0.5,0.7497428865272541,0.6109125898232322,0.5785714285714286,0.30527638190954776,0.9165487977369166,0.3996710526315789,0.7711749459224458,0.163436104374723,0.012095719754547731,1944,177,553,243,0.08345120226308345,0.6947236180904522,0.14398354473774425,2917,0.2728830990743915,0.06762811848704345,1.0512978001065931,BMICategory,Normal weight,796,2917,,default_0_50
0.5,0.6895958727429062,0.6448707783044891,0.6939243408482996,0.86558627264061,0.4241552839683681,0.7703075291622481,0.7126817570943262,0.20406193819882087,0.018600530356732512,590,801,282,1816,0.5758447160316319,0.1344137273593899,0.7500716537689882,3489,0.6013184293493837,0.053965167771859626,0.9797807554086655,BMICategory,Obese I,2098,3489,,default_0_50
0.5,0.7527972027972027,0.6009233091360421,0.7680473372781065,0.9424007744433688,0.2594458438287154,0.8463377526624647,0.7149132165003256,0.17358055034099887,0.01401007352800639,206,588,119,1947,0.7405541561712846,0.05759922555663117,0.8863636363636364,2860,0.7223776223776224,0.015492573316146918,0.9702441483841606,BMICategory,Obese II/III,2066,2860,,default_0_50
0.5,0.6727770754319427,0.6710135466558947,0.6195011337868481,0.6567307692307692,0.6852963240810203,0.6375729288214702,0.731652143805182,0.20669805384916737,0.011197132087562636,1827,839,714,1366,0.31470367591897974,0.34326923076923077,0.4646017699115044,4746,0.4382638010956595,-0.027049217599773898,1.0135201287763862,BMICategory,Overweight,2080,4746,,default_0_50
0.5,0.7795275590551181,0.5900774102744546,0.5384615384615384,0.2413793103448276,0.9387755102040817,0.3333333333333333,0.7607318789584799,0.15170021752461982,0.039412860727802965,92,6,22,7,0.061224489795918366,0.7586206896551724,0.10236220472440945,127,0.2283464566929134,-0.13151760091905013,1.062551651095469,BMICategory,Underweight,29,127,CAUTION: fewer than 150 positive cases; estimates unreliable,default_0_50
0.53,0.7487144326362701,0.5870536084477076,0.6032786885245902,0.23115577889447236,0.9429514380009429,0.33424159854677565,0.7711749459224458,0.163436104374723,0.012095719754547731,2000,121,612,184,0.05704856199905705,0.7688442211055276,0.10455947891669523,2917,0.2728830990743915,0.06762811848704345,1.0512978001065931,BMICategory,Normal weight,796,2917,,youden_j
0.53,0.6821438807681284,0.645821154514347,0.6999595632834614,0.825071496663489,0.46657081236520487,0.757383504703566,0.7126817570943262,0.20406193819882087,0.018600530356732512,649,742,367,1731,0.5334291876347951,0.17492850333651097,0.708799082831757,3489,0.6013184293493837,0.053965167771859626,0.9797807554086655,BMICategory,Obese I,2098,3489,,youden_j
0.53,0.7545454545454545,0.6098875642829449,0.7728,0.9351403678606002,0.28463476070528965,0.8462549277266754,0.7149132165003256,0.17358055034099887,0.01401007352800639,226,568,134,1932,0.7153652392947103,0.06485963213939981,0.8741258741258742,2860,0.7223776223776224,0.015492573316146918,0.9702441483841606,BMICategory,Obese II/III,2066,2860,,youden_j
