feature,mean_absolute_shap_value
BMI,0.12278980846314627
Age,0.10671971436627752
Income,0.05772618045624744
Sex,0.028170822846963185
PhysActivity,0.02085107334474462
Education,0.01453320122964857
Smoker,0.00961702183677338
HvyAlcoholConsump,0.008489394595981622
Veggies,0.004840521253896752
Fruits,0.004148574212875531
