dataset,role,n,positive_prevalence,brier_score,ece_10bin,calibration_note,calibration_intercept,calibration_slope
primary_balanced_internal_test,SUPPLEMENTARY: balanced internal test (50% prevalence),14139,0.49996463682014286,0.18992930787225298,0.009114451311774744,Well-calibrated (trained at same prevalence),0.003141472321042601,1.005173411512302
natural_prevalence_2015,PRIMARY: natural-prevalence validation (~14%),253680,0.13933301797540207,0.1977987591595965,0.275944891882272,MISCALIBRATED: ECE=0.276; intercept=-1.82; isotonic calibration trained on 50/50 does not transfer to 13.9% natural prevalence. Prevalence-adjusted recalibration required before deployment.,-1.8229789589719332,0.9861212314136544
external_temporal,PRIMARY: temporal validation BRFSS 2021 (~14.5%),230759,0.14546778240501995,0.1919761732826688,0.25817890152429923,MISCALIBRATED: ECE=0.258; intercept=-1.70; isotonic calibration trained on 50/50 does not transfer to 14.5% natural prevalence. Prevalence-adjusted recalibration required before deployment.,-1.695443521077417,0.9342192355587264
