dataset,positive_prevalence,threshold_probability,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,role
external_temporal,0.14546778240501995,0.01,0.13683723816806384,0.1368361438434545,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.02,0.1280730112368315,0.1280283493928775,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.03,0.11922225459211853,0.11903895093301026,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.04,0.11026095768023494,0.10986227333856244,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.05,0.10173087848999901,0.10049240253159994,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.060000000000000005,0.09447020945588162,0.0909231727712978,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.06999999999999999,0.08713032872772772,0.08114815312367737,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.08,0.07916540821715559,0.07116063304893473,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.09,0.07204933704441849,0.06095360703848346,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.09999999999999999,0.06455460266145874,0.05051975822779996,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.11,0.05692601810215832,0.0398514409045168,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.12,0.049260956629683314,0.0289406618238863,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.13,0.041208091259861954,0.01777906023565512,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.14,0.033381247343826026,0.00635788651746505,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.15000000000000002,0.026781442212565537,-0.00533202069997657,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.16,0.01948291136145129,-0.017300259041642924,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.17,0.012084949420709423,-0.029556888668650694,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.18000000000000002,0.004292621200515462,-0.04211246048168302,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.19,-0.002900626536829931,-0.05497804641355564,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.2,-0.007752677035348571,-0.06816527199372507,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.21000000000000002,-0.00954099682385498,-0.08168635138605071,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.22,-0.016923305822113655,-0.09555412512176928,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.23,-0.02418563067118487,-0.1097821007727014,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.24000000000000002,-0.03134119647725439,-0.12438449683550012,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.25,-0.03892805914395539,-0.1393762901266401,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.26,-0.04596055109794556,-0.15477326702024335,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.27,-0.05399928894564554,-0.170592078897233,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.28,-0.061951839124127106,-0.18685030221525012,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.29000000000000004,-0.06868485254019976,-0.2035665036549016,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.3,-0.07387608469689777,-0.22076031084997155,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.31,-0.0804015934561505,-0.2384524892680871,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.32,-0.0860826790772038,-0.2566650258749707,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.33,-0.09336606460199842,-0.2754212202910151,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.34,-0.10035748958607874,-0.29474578423481834,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.35000000000000003,-0.10761977114318741,-0.3146649501461233,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.36000000000000004,-0.11455376605029496,-0.33520658999215647,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.37,-0.10943541248318091,-0.3564003453888572,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.38,-0.11357541152066344,-0.378277770314484,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.39,-0.11991568238213757,-0.4008724878606231,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.4,-0.1261417033932949,-0.42422036265830015,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.41000000000000003,-0.13314485190764364,-0.4483596908389494,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.42000000000000004,-0.13858255761982463,-0.4733314096465175,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.43,-0.14528851129943948,-0.49917932911400004,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.44,-0.148660971588788,-0.5259503885624643,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.45,-0.15352420017893514,-0.553694941081782,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.46,-0.1580955150740078,-0.5824670696203336,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.47000000000000003,-0.16375893922492202,-0.6123249388584531,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.48000000000000004,-0.17086957521783463,-0.643331187682654,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.49,-0.1721251668301086,-0.6755533678332941,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.5,-0.17669950034451526,-0.7090644351899602,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.51,-0.17876553071403856,-0.7439433012142451,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.52,-0.1792403907684352,-0.7802754533228753,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.53,-0.1805317198849717,-0.8181536544574046,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.54,-0.1747904881754106,-0.8576787339021308,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.55,-0.17747327538928304,-0.8989604835444005,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.56,-0.17871852924873616,-0.9421186763522278,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.5700000000000001,-0.18006292077398384,-0.9872842269650703,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.5800000000000001,-0.18381845087195697,-1.0346005180832865,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.59,-0.18722108875282087,-1.0842249209633659,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
external_temporal,0.14546778240501995,0.6,-0.18935989495534297,-1.13633054398745,0.0,PRIMARY: temporal validation BRFSS 2021 (~14.5%)
