model,roc_auc_mean,roc_auc_sd,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,recall_mean,recall_sd,precision_mean,precision_sd,f1_mean,f1_sd,wilcoxon_p_vs_best,folds_best_model_won,wilcoxon_power_note
XGBoost,0.7775138521379003,0.0019471313323108446,0.7086802695372321,0.0027680248289149215,0.7086794740482005,0.0027663976719136513,0.754287827797558,0.005197275275262462,0.6912474337620444,0.002537396083696694,0.7213846127163823,0.0030673880614180624,reference,ref (5 folds total),Selected model
Gradient Boosting,0.7773033908750392,0.001966447214249925,0.7074601651045699,0.0029370090162256154,0.7074593430354782,0.0029352255174144265,0.7546767890127399,0.005573271247210455,0.6895694276408432,0.002598037934498443,0.7206464608531895,0.003290251330550252,0.0312,5/5,Min achievable p=0.03125; p=0.031 -> no fold-level dominance; selection based on mean AUC
HistGradient Boosting,0.7765021161468365,0.0017622020062474835,0.7071772343393804,0.004386243621193787,0.7071764638570716,0.0043837088002734205,0.7563388409701144,0.008517752779442578,0.6886410843417774,0.003682677572198569,0.7208842517653775,0.004981392956747766,0.0312,5/5,Min achievable p=0.03125; p=0.031 -> no fold-level dominance; selection based on mean AUC
Random Forest,0.775434972478817,0.002271271001055702,0.7061870102740296,0.003026414202458917,0.7061863023172343,0.003024972665142874,0.7487355821599591,0.0065059353101981484,0.690030737611686,0.0027561299620768617,0.7181711341334418,0.003558903338439838,0.0312,5/5,Min achievable p=0.03125; p=0.031 -> no fold-level dominance; selection based on mean AUC
Logistic Regression,0.7702433064448305,0.003418051106530772,0.7020669315512602,0.004401166454270536,0.7020667113130411,0.004400602014227576,0.7159172578872136,0.004644732296628716,0.6966457967239118,0.004897432637145947,0.7061419761495283,0.004142212743436805,0.0312,5/5,Min achievable p=0.03125; p=0.031 -> no fold-level dominance; selection based on mean AUC
Extra Trees,0.7678109482646913,0.002476345300175798,0.6996622350128092,0.0027281827713589633,0.6996613878894521,0.0027259080291228074,0.7534391214794083,0.004242657402076338,0.6803013009822887,0.0034367593389596457,0.7149922025436762,0.002352412357750903,0.0312,5/5,Min achievable p=0.03125; p=0.031 -> no fold-level dominance; selection based on mean AUC
Decision Tree,0.7622677505651144,0.0014507748626792604,0.6956482226912903,0.0031826476623978916,0.6956477351031806,0.0031820466158562185,0.7342366345387855,0.00828947052977203,0.6817400500441739,0.005890105471119693,0.7069522547401238,0.0023898497077284786,0.0312,5/5,Min achievable p=0.03125; p=0.031 -> no fold-level dominance; selection based on mean AUC
