threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,brier_score,ece_10bin,true_negative,false_positive,false_negative,true_positive,false_positive_rate,false_negative_rate,predicted_positive_rate,n,positive_prevalence,calibration_intercept,calibration_slope,subgroup_variable,subgroup,n_positive,n_total,reliability_note,dataset,threshold_strategy
0.5,0.9680602759919741,0.5517823347770405,0.16666666666666666,0.11654135338345864,0.9870233161706224,0.13716814159292035,0.7510277404549929,0.03463451459500148,0.08976204646632656,23579,310,470,62,0.012976683829377538,0.8834586466165414,0.015232791449981574,24421,0.021784529708038163,-1.923001951389266,0.9610133116254149,AgeGroup,18–34,532,24421,,natural_prevalence_2015,default_0_50
0.5,0.8931954636424283,0.6391068025663421,0.21853082318198597,0.3530113297555158,0.9252022753771685,0.2699498404012768,0.7807302423802935,0.08750975333509743,0.162638204345123,26186,2117,1085,592,0.0747977246228315,0.6469886702444841,0.09036024016010674,29980,0.055937291527685125,-1.7929663837576624,0.9850338216599684,AgeGroup,35–44,1677,29980,,natural_prevalence_2015,default_0_50
0.5,0.7529750937506774,0.6933850698586705,0.23811423101467774,0.6180124223602484,0.7687577173570928,0.34377519290567776,0.7656573129278554,0.16364909019798618,0.25281216483004787,31752,9551,1845,2985,0.2312422826429073,0.38198757763975155,0.2717360674571348,46133,0.1046972882752043,-1.8563275222256457,0.956081415529094,AgeGroup,45–54,4830,46133,,natural_prevalence_2015,default_0_50
0.5,0.6333572632498907,0.6848945643346096,0.2647540697877087,0.7598039215686274,0.6099852071005917,0.39267895457953106,0.7540022684369605,0.2202089890693812,0.30355936470917966,32988,21092,2401,7595,0.39001479289940827,0.24019607843137256,0.44770272801048755,64076,0.15600224733129409,-1.8099769714065783,0.972283979165933,AgeGroup,55–64,9996,64076,,natural_prevalence_2015,default_0_50
0.5,0.5069894306171155,0.6388493438497782,0.2811520213090647,0.8661424053337892,0.41155628236576725,0.4245077503142019,0.7266898118039766,0.2757674324224014,0.34926457105863834,18120,25908,1566,10133,0.5884437176342328,0.13385759466621078,0.6467421537136397,55727,0.20993414323397994,-1.8244967220516424,1.0291307499630362,AgeGroup,65–74,11699,55727,,natural_prevalence_2015,default_0_50
0.5,0.4559877635485709,0.6081795426021113,0.24837371752892382,0.8604053236539625,0.35595376155026,0.38547277839888877,0.6868922655581613,0.2903401304435462,0.37058476037186483,9515,17216,923,5689,0.64404623844974,0.1395946763460375,0.686950784272561,33343,0.1983024922772396,-1.8381121016592483,0.9590580355331243,AgeGroup,75+,6612,33343,,natural_prevalence_2015,default_0_50
0.35000000000000003,0.9447197084476475,0.6050954414165515,0.12269372693726938,0.25,0.960190882833103,0.1646039603960396,0.7510277404549929,0.03463451459500148,0.08976204646632656,22938,951,399,133,0.0398091171668969,0.75,0.0443880266983334,24421,0.021784529708038163,-1.923001951389266,0.9610133116254149,AgeGroup,18–34,532,24421,,natural_prevalence_2015,recall_at_least_80
0.35000000000000003,0.8079719813208806,0.691859680313119,0.1578329419657833,0.5611210494931426,0.8225983111330955,0.24636732556617358,0.7807302423802935,0.08750975333509743,0.162638204345123,23282,5021,736,941,0.17740168886690458,0.4388789505068575,0.19886591060707137,29980,0.055937291527685125,-1.7929663837576624,0.9850338216599684,AgeGroup,35–44,1677,29980,,natural_prevalence_2015,recall_at_least_80
0.35000000000000003,0.5980751306006546,0.6892420599789999,0.18087879352075964,0.8045548654244307,0.573929254533569,0.29535608421372656,0.7656573129278554,0.16364909019798618,0.25281216483004787,23705,17598,944,3886,0.42607074546643103,0.19544513457556936,0.4656970064812607,46133,0.1046972882752043,-1.8563275222256457,0.956081415529094,AgeGroup,45–54,4830,46133,,natural_prevalence_2015,recall_at_least_80
0.35000000000000003,0.4634496535364255,0.6451143771117914,0.21353383458646616,0.9091636654661864,0.3810650887573965,0.34584062714057384,0.7540022684369605,0.2202089890693812,0.30355936470917966,20608,33472,908,9088,0.6189349112426036,0.09083633453381353,0.6642112491416443,64076,0.15600224733129409,-1.8099769714065783,0.972283979165933,AgeGroup,55–64,9996,64076,,natural_prevalence_2015,recall_at_least_80
0.35000000000000003,0.34826924112189783,0.5754329988610081,0.23944884223003005,0.9670057269852124,0.18386027073680386,0.3838493510899991,0.7266898118039766,0.2757674324224014,0.34926457105863834,8095,35933,386,11313,0.8161397292631961,0.032994273014787585,0.8478116532381073,55727,0.20993414323397994,-1.8244967220516424,1.0291307499630362,AgeGroup,65–74,11699,55727,,natural_prevalence_2015,recall_at_least_80
0.35000000000000003,0.2926551300122964,0.5482593060484775,0.21545683151718356,0.9718693284936479,0.12464928360330702,0.35271839064686994,0.6868922655581613,0.2903401304435462,0.37058476037186483,3332,23399,186,6426,0.8753507163966929,0.028130671506352088,0.8944905977266593,33343,0.1983024922772396,-1.8381121016592483,0.9590580355331243,AgeGroup,75+,6612,33343,,natural_prevalence_2015,recall_at_least_80
0.5,0.8783519208736386,0.6130550289681784,0.1779318313113807,0.3136456211812627,0.9124644367550941,0.22705492075193512,0.7704324084971236,0.09562302738089347,0.17751440352243428,59333,5692,2696,1232,0.0875355632449058,0.6863543788187373,0.1004162255449364,68953,0.05696633939059939,-1.7904748081620798,1.0410347536918645,BMICategory,Normal weight,3928,68953,,natural_prevalence_2015,default_0_50
0.5,0.5111597537931938,0.6463882923214179,0.26457305841107615,0.8661608792918977,0.4266157053509382,0.40533466851771777,0.7150005428871009,0.2686781587177514,0.34126306307869547,18417,24753,1376,8905,0.5733842946490618,0.13383912070810233,0.6296982282838488,53451,0.1923443901891452,-1.8120279154849523,1.0000331721313394,BMICategory,Obese I,10281,53451,,natural_prevalence_2015,default_0_50
0.5,0.45002906976744184,0.594305742182324,0.3468802040888637,0.9527053328143247,0.23590615155032332,0.5085846385620406,0.7051315159885938,0.33244888856408045,0.3752700863255426,5691,18433,486,9790,0.7640938484496766,0.04729466718567536,0.8204360465116279,34400,0.29872093023255814,-1.7556692022574432,0.9163000481543306,BMICategory,Obese II/III,10276,34400,,natural_prevalence_2015,default_0_50
0.5,0.6723911721725032,0.6681861328258782,0.20723539905828678,0.6627384960718294,0.673633769579927,0.3157402250194943,0.7313740753789624,0.1864316848339415,0.27754313474580594,55950,27107,3606,7086,0.32636623042007296,0.3372615039281706,0.36472922377838696,93749,0.11404921652497627,-1.8312907728712897,0.9968221457267227,BMICategory,Overweight,10692,93749,,natural_prevalence_2015,default_0_50
0.5,0.8928685641189639,0.591891010638085,0.17063492063492064,0.25443786982248523,0.9293441514536849,0.2042755344418052,0.72983704806142,0.09880158838746671,0.1893237010264745,2749,209,126,43,0.07065584854631508,0.7455621301775148,0.08058842340901823,3127,0.05404541093700032,-1.936940515271212,0.9291944702107008,BMICategory,Underweight,169,3127,,natural_prevalence_2015,default_0_50
0.35000000000000003,0.7416791147593288,0.6975082746648438,0.13409234661606578,0.6476578411405295,0.7473587081891581,0.22218340611353712,0.7704324084971236,0.09562302738089347,0.17751440352243428,48597,16428,1384,2544,0.252641291810842,0.35234215885947046,0.2751439386248604,68953,0.05696633939059939,-1.7904748081620798,1.0410347536918645,BMICategory,Normal weight,3928,68953,,natural_prevalence_2015,recall_at_least_80
0.35000000000000003,0.3869712446913996,0.6025188925049068,0.23280574171776225,0.9528256006225075,0.252212184387306,0.37418590882178804,0.7150005428871009,0.2686781587177514,0.34126306307869547,10888,32282,485,9796,0.747787815612694,0.04717439937749246,0.7872256833361396,53451,0.1923443901891452,-1.8120279154849523,1.0000331721313394,BMICategory,Obese I,10281,53451,,natural_prevalence_2015,recall_at_least_80
0.35000000000000003,0.3750872093023256,0.5506492616098775,0.32189454303038,0.9867652783184119,0.11453324490134306,0.4854345692605979,0.7051315159885938,0.33244888856408045,0.3752700863255426,2763,21361,136,10140,0.8854667550986569,0.013234721681588166,0.9157267441860465,34400,0.29872093023255814,-1.7556692022574432,0.9163000481543306,BMICategory,Obese II/III,10276,34400,,natural_prevalence_2015,recall_at_least_80
0.35000000000000003,0.498565318030059,0.6566250285272563,0.1682591300217403,0.8613916947250281,0.45185836232948456,0.2815265402191689,0.7313740753789624,0.1864316848339415,0.27754313474580594,37530,45527,1482,9210,0.5481416376705154,0.13860830527497195,0.5838675612539868,93749,0.11404921652497627,-1.8312907728712897,0.9968221457267227,BMICategory,Overweight,10692,93749,,natural_prevalence_2015,recall_at_least_80
0.35000000000000003,0.7288135593220338,0.6558125392576946,0.1111111111111111,0.5739644970414202,0.7376605814739688,0.18618042226487524,0.72983704806142,0.09880158838746671,0.1893237010264745,2182,776,72,97,0.2623394185260311,0.4260355029585799,0.2791813239526703,3127,0.05404541093700032,-1.936940515271212,0.9291944702107008,BMICategory,Underweight,169,3127,,natural_prevalence_2015,recall_at_least_80
0.5,0.6993040979334244,0.7189973994377037,0.2653380755402637,0.7455868774102439,0.6924079214651635,0.3913892650937344,0.7900501517022989,0.1848051732583462,0.2621061369514527,85556,38007,4684,13727,0.3075920785348365,0.2544131225897561,0.36439066307915535,141974,0.12967867355994758,-1.8272626101006015,0.968780973434636,SexGroup,Female,18411,141974,,natural_prevalence_2015,default_0_50
0.5,0.625866112831898,0.6920642420512253,0.2587351502445842,0.7870682019486271,0.5970602821538235,0.38944646535477934,0.7648773685117933,0.21431310364193507,0.29353341347062134,56584,38187,3606,13329,0.40293971784617655,0.21293179805137288,0.46117486974737254,111706,0.1516033158469554,-1.8231681015807735,1.0110660253604111,SexGroup,Male,16935,111706,,natural_prevalence_2015,default_0_50
0.35000000000000003,0.5635327595193486,0.6996066018883342,0.2137562104045635,0.8833306175655858,0.5158825862110826,0.3442159736700073,0.7900501517022989,0.1848051732583462,0.2621061369514527,63744,59819,2148,16263,0.4841174137889174,0.11666938243441421,0.5358868525222928,141974,0.12967867355994758,-1.8272626101006015,0.968780973434636,SexGroup,Female,18411,141974,,natural_prevalence_2015,recall_at_least_80
0.35000000000000003,0.48108427479275956,0.6599635738101077,0.215374797097629,0.9166814289932094,0.40324571862700614,0.3487990653155683,0.7648773685117933,0.21431310364193507,0.29353341347062134,38216,56555,1411,15524,0.5967542813729938,0.08331857100679067,0.6452562977816769,111706,0.1516033158469554,-1.8231681015807735,1.0110660253604111,SexGroup,Male,16935,111706,,natural_prevalence_2015,recall_at_least_80
